DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, notes
CCRW, 2021-03-29 15:20:00 EST, 2021-05-11 15:50:00 EST, wtr*, c(5:17), 1, temp string deployed at test depth
CCRW, 2021-03-29 15:20:00 EST, 2021-05-11 15:50:00 EST, Lvl*, c(52:53), 1, pressure sensor deployed with temp string at test depth
CCRW, 2021-04-11 13:30:00 EST, 2021-04-11 15:30:00 EST, EXO_9*, c(39:51), 1, 9m EXO was out of place
CCRW, 2021-04-12 13:30:00 EST, 2021-04-12 15:30:00 EST, EXO_9*, c(39:51), 1, 9m EXO was out of place
CCRW, 2021-04-19 15:50:00 EST, 2021-04-19 16:00:00 EST, EXO_9*, c(39:51), 1, 9m EXO was up for maintenance
CCRW, 2021-04-26 16:05:00 EST, 2021-04-26 16:15:00 EST, EXO_9*, c(39:51), 1, 9m EXO was up for maintenance
CCRW, 2021-07-01 16:30:00 EST, 2021-07-02 13:10:00 EST, EXO_9*, c(39:51), 1, 9m EXO was out of place and then up for maintenance
CCRW, 2021-07-02 12:50:00 EST, 2021-07-02 13:30:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-07-02 13:45:00 EST, 2021-07-02 15:20:00 EST, wtr*, c(5:17), 1, temp string pulled up for cleaning and inspection
CCRW, 2021-07-02 13:45:00 EST, 2021-07-02 15:20:00 EST, Lvl*, c(52:53), 1, pressure sensor pulled up for cleaning and inspection
CCRW, 2021-07-28 11:40:00 EST, 2021-07-28 11:40:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-08-06 10:50:00 EST, 2021-08-30 08:10:00 EST, EXO_9*, c(39:51), 1, 9m EXO was wrapped around the intake and out of place
CCRW, 2021-08-19 09:10:00 EST, 2021-08-19 09:20:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-08-20 12:50:00 EST, 2021-08-20 12:50:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-08-30 10:00:00 EST, 2021-08-30 10:00:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-08-30 09:50:00 EST, 2021-08-30 09:50:00 EST, EXO_9*, c(39:51), 1, 9m EXO was up for maintenance
CCRW, 2021-09-07 15:25:00 EST, 2021-09-27 08:30:00 EST, EXO_9*, c(39:51), 1, 9m EXO removed values because of malfunctioning wiper
CCRW, 2021-09-23 10:30:00 EST, 2021-09-23 10:50:00 EST, EXO_9*, c(39:51), 1, 9m EXO was up for maintenance
CCRW, 2021-09-23 10:30:00 EST, 2021-09-23 10:50:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-09-23 10:50:00 EST, 2021-09-27 08:20:00 EST, EXO_9*, c(39:51), 1, 9m EXO was up and removed for maintenance at the lab
CCRW, 2021-09-27 08:00:00 EST, 2021-09-27 08:10:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download and Central wiper removed
CCRW, 2021-10-04 08:10:00 EST, 2021-10-04 08:30:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-10-12 08:30:00 EST, 2021-10-12 08:30:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-10-26 08:30:00 EST, 2021-10-26 08:40:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-11-08 16:10:00 EST, 2021-11-08 16:10:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-11-19 16:10:00 EST, 2021-11-19 16:10:00 EST, EXO_9*, c(39:51), 1, 9m EXO was up for maintenance
CCRW, 2021-12-03 13:35:00 EST, 2021-12-03 13:45:00 EST, wtr*, c(5:17), 1, temp string pulled up for cleaning and inspection
CCRW, 2021-12-03 13:35:00 EST, 2021-12-03 13:45:00 EST, Lvl*, c(52:53), 1, pressure sensor pulled up for cleaning and inspection
CCRW, 2021-12-03 14:00:00 EST, 2021-12-03 14:00:00 EST, EXO_9*, c(39:51), 1, 9m EXO was up for maintenance
CCRW, 2021-12-03 15:10:00 EST, 2021-12-03 15:10:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-12-04 11:40:00 EST, 2021-12-04 11:40:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2021-12-14 10:45:00 EST, 2021-12-14 10:55:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
CCRW, 2022-01-11 12:05:00 EST, 2022-01-11 10:15:00 EST, EXO_1*, c(20:36), 1, 1m EXO was up for maintenance and data download
