Reservoir,Site,DateTime,ThermistorTemp_C_1,ThermistorTemp_C_2,ThermistorTemp_C_3,ThermistorTemp_C_4,ThermistorTemp_C_5,ThermistorTemp_C_6,ThermistorTemp_C_7,ThermistorTemp_C_8,ThermistorTemp_C_9,ThermistorTemp_C_10,ThermistorTemp_C_11,ThermistorTemp_C_12,ThermistorTemp_C_13,EXOTemp_C_1,EXOCond_uScm_1,EXOSpCond_uScm_1,EXOTDS_mgL_1,EXODOsat_percent_1,EXODO_mgL_1,EXOChla_RFU_1,EXOChla_ugL_1,EXOBGAPC_RFU_1,EXOBGAPC_ugL_1,EXOfDOM_RFU_1,EXOfDOM_QSU_1,EXOPressure_psi_1,EXODepth_m_1,EXOBattery_V_1,EXOCablepower_V_1,EXOWiper_V_1,EXOTemp_C_9,EXOCond_uScm_9,EXOSpCond_uScm_9,EXOTDS_mgL_9,EXODOsat_percent_9,EXODO_mgL_9,EXOfDOM_RFU_9,EXOfDOM_QSU_9,EXOPressure_psi_9,EXODepth_m_9,EXOBattery_V_9,EXOCablepower_V_9,EXOWiper_V_9,LvlPressure_psi_13,LvlDepth_m_13,LvlTemp_C_13,RECORD,CR3000Battery_V,CR3000Panel_Temp_C,Flag_ThermistorTemp_C_1,Flag_ThermistorTemp_C_2,Flag_ThermistorTemp_C_3,Flag_ThermistorTemp_C_4,Flag_ThermistorTemp_C_5,Flag_ThermistorTemp_C_6,Flag_ThermistorTemp_C_7,Flag_ThermistorTemp_C_8,Flag_ThermistorTemp_C_9,Flag_ThermistorTemp_C_10,Flag_ThermistorTemp_C_11,Flag_ThermistorTemp_C_12,Flag_ThermistorTemp_C_13,Flag_EXOTemp_C_1,Flag_EXOCond_uScm_1,Flag_EXOSpCond_uScm_1,Flag_EXOTDS_mgL_1,Flag_EXODOsat_percent_1,Flag_EXODO_mgL_1,Flag_EXOChla_RFU_1,Flag_EXOChla_ugL_1,Flag_EXOBGAPC_RFU_1,Flag_EXOBGAPC_ugL_1,Flag_EXOfDOM_RFU_1,Flag_EXOfDOM_QSU_1,Flag_EXOPressure_psi_1,Flag_EXODepth_m_1,Flag_EXOBattery_V_1,Flag_EXOCablepower_V_1,Flag_EXOWiper_V_1,Flag_EXOTemp_C_9,Flag_EXOCond_uScm_9,Flag_EXOSpCond_uScm_9,Flag_EXOTDS_mgL_9,Flag_EXODOsat_percent_9,Flag_EXODO_mgL_9,Flag_EXOfDOM_RFU_9,Flag_EXOfDOM_QSU_9,Flag_EXOPressure_psi_9,Flag_EXODepth_m_9,Flag_EXOBattery_V_9,Flag_EXOCablepower_V_9,Flag_EXOWiper_V_9,Flag_LvlPressure_psi_13,Flag_LvlTemp_C_13
CCR,51,2023-01-01 00:00:00,5.685785,5.654596,5.3729189999999996,5.344904,5.296289,5.278528,5.282892,5.265039,5.262109,5.19552,5.188501,5.132013,5.1544739999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.231,62.28,100.06,65.04,91.96,11.67,6.25,19.21,12.5,8.791,2.81,12.31,1.22,27.57097,19.425126913499998,5.141617,13444,13.14,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 00:10:00,5.71737,5.651422,5.375055,5.334344,5.292688,5.281213,5.284326,5.266534,5.254785,5.191919,5.186487,5.128076,5.148523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.222,62.17,99.91,64.94,91.76,11.65,6.26,19.23,12.5,8.79,2.81,12.25,1.21,27.57169,19.425634189500002,5.141574,13445,13.19,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 00:20:00,5.649255,5.642755,5.374963,5.324854,5.29101,5.279108,5.281549,5.268152,5.257013,5.192468,5.191308,5.129053,5.152216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.217,62.16,99.92,64.95,91.74,11.65,6.26,19.22,12.5,8.791,2.81,12.25,1.22,27.57236,19.426106238,5.144028,13446,13.19,10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 00:30:00,5.700616,5.674127,5.393884,5.324121,5.290582,5.28042,5.281213,5.270898,5.261377,5.198328,5.195581,5.133874,5.155176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.232,62.25,100.02,65.01,91.91,11.67,6.28,19.29,12.5,8.791,2.81,12.26,1.22,27.56745,19.4226468975,5.152534,13447,13.2,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 00:40:00,5.694757,5.702203,5.612482,5.329431,5.290765,5.279626,5.277551,5.274286,5.2669,5.198755,5.195764,5.142755,5.153802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.232,62.25,100.01,65.01,91.94,11.67,6.26,19.25,12.5,8.79,2.81,12.26,1.22,27.57054,19.424823957,5.147219,13448,13.21,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 00:50:00,5.756982,5.724817,5.572687,5.331872,5.290094,5.281793,5.278955,5.274377,5.271112,5.199731,5.195428,5.148401,5.161096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.233,62.26,100.02,65.01,91.98,11.67,6.28,19.29,12.5,8.788,2.81,12.27,1.22,27.57055,19.4248310025,5.149934,13449,13.17,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 01:00:00,5.790643,5.745142,5.518762,5.336725,5.287836,5.282281,5.2797790000000004,5.275506,5.273218,5.202844,5.195428,5.153864,5.167016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.232,62.24,99.99,65,91.93,11.67,6.25,19.21,12.5,8.791,2.82,12.27,1.22,27.56797,19.4230132635,5.153155,13450,13.16,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 01:10:00,5.795434,5.772028,5.519006,5.339929,5.290277,5.280054,5.280481,5.274622,5.269464,5.204187,5.199243,5.152002,5.163721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.233,62.24,99.99,65,92.17,11.7,6.27,19.26,12.51,8.794,2.81,12.26,1.22,27.57198,19.425838509000002,5.157807,13451,13.16,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 01:20:00,5.812189,5.776666,5.534692,5.33996,5.289362,5.27804,5.276666,5.272852,5.271112,5.205957,5.201227,5.152216,5.168848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.232,62.23,99.97,64.98,92.5,11.74,6.26,19.24,12.5,8.791,2.81,12.26,1.21,27.56861,19.4234641755,5.15785,13452,13.16,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,51,2023-01-01 01:30:00,5.823999,5.787042,5.415246,5.330316,5.289422,5.277398,5.278711,5.272821,5.271631,5.2091,5.206293,5.1547790000000004,5.172052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.233,62.18,99.9,64.94,92.62,11.75,6.23,19.15,12.5,8.79,2.81,12.26,1.22,27.56798,19.423020308999998,5.156839,13453,13.16,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
